,state,vote,V201103,V201105,V201114,V201115,V201116,V201117,V201118,V201119,V201120,V201121,V201122,V201123,V201200,V201202,V201203,V201208,V201209,V201210,V201211,V201212,V201213,V201214,V201215,V201217,V201218,V201221,V201233,V201234,V201235,V201236,V201237,V201246,V201249,V201252,V201255,V201258,V201262,V201303,V201306,V201309,V201312,V201315,V201321,V201324,V201325,V201328,V201334,V201346,V201353,V201354,V201366,V201369,news,V201379,V201390,state covid,V201394,V201397,V201401,V201403,V201409,V201417,V201427,blm,V201430,V201433,V201435,V201502,V201503,V201507x,education,race,V201553,V201567,V201575,V201592,V201593,V201600,V201602,V201603,V201617x,V201620,V201626,V201627,V201628,V201639,V201640,V201651,recode education
0,40,Donald Trump,2,2,1,3,5,5,5,1,5,1,5,1,6,1,5,4,5,5,5,1,1,1,3,2,2,1,5,1,1,2,3,1,7,7,7,7,7,2,1,2,2,3,2,2,2,1,3,3,5,2,5,5,None,1,3,Far too strict,2,3,2,2,1,1,1,7,1,2,11,3,3,46,bachelor's,Hispanic,2,0,40,2,1,1,1,1,21,1,4,1,3,1,3,1,Bachelor's or more
1,51,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,3,7,3,3,2,3,5,5,5,5,1,2,-1,4,1,1,3,4,6,1,2,4,3,1,1,2,3,1,1,1,4,3,3,1,1,5,1,5,5,A moderate amount,1,2,About right,1,1,1,1,2,4,2,4,2,3,11,3,3,40,HS,white,1,2,51,2,3,2,3,3,17,1,2,3,0,2,4,3,Less than bachelor's
2,6,Joe Biden,1,1,2,2,4,4,2,2,4,2,4,4,3,6,4,2,2,2,2,5,5,5,5,1,2,-1,3,1,2,4,2,7,4,1,7,99,1,1,3,1,3,1,3,4,3,2,2,1,2,3,4,4,A lot,2,2,Not quite strict enough,1,3,3,1,1,1,3,7,1,1,2,3,3,41,assoc.,Asian,3,1,6,2,3,1,1,1,7,1,2,4,0,3,3,1,Less than bachelor's
3,8,Donald Trump,2,1,2,4,4,3,3,3,4,4,3,3,5,1,4,4,4,5,5,3,2,2,3,2,1,-1,5,1,1,2,4,2,4,5,7,6,4,2,1,1,3,1,3,4,3,1,3,2,1,2,5,1,A little,1,3,Far too strict,1,1,3,1,1,2,1,7,1,4,12,3,3,72,prof.,Native,1,0,12,2,1,1,1,1,22,1,2,4,0,2,2,2,Bachelor's or more
4,48,Joe Biden,-1,2,2,1,5,5,5,1,5,1,5,5,4,3,6,2,1,2,1,5,5,5,5,1,1,2,4,1,1,2,2,99,99,3,4,3,99,1,2,3,3,1,1,3,2,1,2,1,3,3,5,2,A lot,1,2,Not nearly strict enough,1,1,1,3,2,3,1,1,2,3,10,3,3,71,some college,white,1,0,48,2,2,2,1,1,3,1,2,3,0,2,3,4,Less than bachelor's
5,55,Donald Trump,5,2,2,4,3,4,4,2,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,-1,4,1,1,2,4,7,7,1,7,7,5,1,1,1,1,1,3,4,2,2,2,2,3,3,3,3,A little,1,2,About right,2,1,1,1,1,2,1,1,3,5,1,5,2,37,assoc.,white,1,3,13,2,3,2,2,3,4,1,4,5,0,3,3,1,Less than bachelor's
6,-1,Donald Trump,-1,-1,1,4,1,1,1,4,1,4,1,1,99,5,5,5,5,5,5,2,2,2,2,2,2,-1,1,2,3,5,1,7,7,7,7,7,99,3,3,3,3,3,3,3,2,2,2,3,5,3,1,1,None,2,3,About right,3,3,3,3,2,1,4,7,3,5,12,5,5,45,HS,white,1,0,12,2,5,2,1,3,3,2,4,1,0,5,5,5,Less than bachelor's
7,24,Joe Biden,-1,-1,2,1,5,5,5,1,5,1,5,5,99,4,1,2,1,1,1,5,5,5,5,1,2,1,2,1,1,2,4,7,7,1,1,1,1,1,3,1,1,1,1,4,2,3,1,2,3,3,4,3,A moderate amount,2,2,Not nearly strict enough,2,1,1,1,1,3,1,1,1,1,1,2,1,37,HS,Hispanic,3,2,59,2,4,2,5,1,9,1,1,1,0,2,1,2,Less than bachelor's
8,55,Joe Biden,1,1,2,1,5,3,3,1,4,1,4,5,4,3,6,3,3,3,3,5,5,4,5,1,1,-1,3,1,1,4,3,99,99,6,4,7,1,1,3,1,3,3,3,3,2,3,2,1,3,3,3,3,A moderate amount,1,2,About right,1,1,3,1,2,3,2,Haven't thought much about this,3,2,11,1,1,55,HS,white,1,2,55,2,2,1,1,1,18,1,3,1,1,3,3,2,Less than bachelor's
9,-1,Donald Trump,-1,-1,2,2,5,5,5,1,5,2,4,4,6,2,6,5,5,5,5,2,2,2,2,2,2,-1,4,1,1,2,4,99,3,3,4,7,4,1,1,1,1,3,3,4,2,3,1,1,2,3,1,3,None,1,2,Somewhat too strict,3,1,1,1,1,1,1,Haven't thought much about this,1,4,3,4,3,30,HS,white,1,1,41,2,5,2,1,1,1,1,4,3,0,3,3,4,Less than bachelor's
10,-1,Joe Biden,-1,1,1,2,3,1,1,2,3,3,1,3,4,3,1,3,3,3,3,3,3,3,4,1,1,1,2,1,2,4,4,7,4,3,1,1,99,3,1,3,3,3,3,2,2,1,1,1,2,1,1,2,A little,2,3,About right,3,1,3,1,1,2,1,1,3,1,12,3,2,41,some college,Black,1,1,37,1,5,2,1,1,3,2,1,2,0,3,5,3,Less than bachelor's
11,-1,Donald Trump,-1,-1,2,4,3,5,5,1,5,1,5,5,6,1,6,5,5,5,5,1,1,2,2,2,2,2,4,1,1,2,4,4,6,4,4,4,99,1,1,1,3,1,3,3,3,1,2,3,2,2,1,5,A little,2,3,Somewhat too strict,2,1,3,1,1,3,1,6,1,3,2,3,3,66,some college,Hispanic,1,0,35,2,2,1,1,1,7,1,4,3,2,4,3,2,Less than bachelor's
12,25,Joe Biden,5,1,2,2,4,4,4,1,5,3,4,4,3,2,5,3,2,3,3,5,5,5,5,1,1,-1,3,1,1,4,2,4,4,1,5,4,3,1,3,1,3,3,1,4,3,1,3,1,2,1,5,4,A moderate amount,1,2,About right,3,1,1,1,2,3,2,5,2,5,2,3,2,54,bachelor's,white,1,2,25,2,1,1,1,1,22,1,3,2,1,4,4,2,Bachelor's or more
13,32,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,3,6,2,1,2,1,5,5,5,5,1,1,1,3,1,2,4,3,4,3,3,6,6,4,2,3,3,3,3,1,4,3,3,2,1,1,1,5,5,A moderate amount,1,2,Not quite strict enough,1,1,1,3,2,2,2,3,3,1,2,3,4,62,bachelor's,white,1,0,17,2,3,2,1,3,-9,1,2,2,0,3,4,1,Bachelor's or more
14,55,Joe Biden,1,1,2,2,4,3,3,2,4,2,3,4,3,2,6,3,2,3,2,4,5,3,5,1,1,-1,4,1,1,4,2,4,4,4,4,4,4,1,3,1,3,1,1,3,2,2,3,2,3,1,5,3,A moderate amount,1,2,Not quite strict enough,1,1,1,1,2,3,2,3,3,1,2,3,3,80,HS,white,1,0,55,2,1,2,1,1,5,1,2,3,0,3,3,2,Less than bachelor's
15,42,Donald Trump,-1,-1,2,3,2,4,4,2,4,3,5,2,6,2,6,5,5,5,5,1,1,3,3,2,1,-1,2,2,2,4,3,4,6,5,7,6,3,1,1,1,2,1,1,4,3,1,3,3,2,2,2,3,A moderate amount,1,3,Far too strict,2,2,1,2,1,3,2,7,1,3,2,3,1,31,master's,Hispanic,1,0,42,1,2,1,2,1,12,1,4,3,1,2,2,3,Bachelor's or more
16,6,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,4,2,7,2,2,4,2,5,5,5,5,2,2,1,4,1,1,4,4,7,1,1,2,1,2,1,1,3,3,3,1,5,3,2,2,1,3,1,5,4,A little,1,3,Not quite strict enough,3,1,1,1,2,3,3,1,2,2,2,5,3,80,less than HS,Hispanic,3,1,59,2,5,2,1,1,6,1,1,1,0,1,5,3,Less than bachelor's
17,36,Joe Biden,1,-1,2,1,3,5,4,2,3,1,4,2,2,5,6,3,3,2,3,4,5,5,5,1,1,1,4,1,1,2,3,6,1,1,1,3,1,1,3,2,1,1,1,4,3,3,2,1,4,1,5,5,A little,1,2,About right,3,1,1,1,2,3,1,1,3,5,10,3,4,24,bachelor's,white,1,0,36,1,4,1,2,1,21,1,3,1,2,4,5,3,Bachelor's or more
18,13,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,3,7,2,2,2,2,5,5,5,5,1,1,2,4,1,1,4,2,5,4,1,3,3,2,1,3,3,3,1,1,4,3,3,1,1,2,1,5,4,A lot,2,2,Not nearly strict enough,1,1,1,1,2,3,2,3,2,4,1,4,3,73,bachelor's,white,1,0,26,2,2,1,1,1,5,1,2,2,4,3,3,3,Bachelor's or more
19,37,Donald Trump,1,-9,2,3,2,3,3,3,2,3,4,2,99,4,6,5,5,3,4,1,2,2,2,2,2,-1,2,1,1,3,2,99,6,4,6,99,6,1,3,3,3,3,1,2,3,1,3,3,1,2,4,4,A moderate amount,2,3,About right,3,1,1,1,1,3,2,Haven't thought much about this,1,1,1,3,3,72,less than HS,white,1,3,37,2,1,2,1,3,5,1,4,3,1,3,4,2,Less than bachelor's
20,51,Donald Trump,-1,2,1,3,3,4,3,2,3,2,3,3,5,2,6,4,4,2,5,3,4,3,5,2,1,2,4,1,1,2,3,5,4,4,5,4,3,1,3,1,3,3,1,2,2,2,2,2,3,3,2,4,None,1,3,Not quite strict enough,1,1,1,2,2,4,2,2,2,5,2,3,4,50,bachelor's,white,1,0,39,2,2,1,1,1,20,2,3,3,0,3,3,2,Bachelor's or more
21,36,Joe Biden,5,1,2,1,4,5,5,1,4,1,5,5,5,4,7,3,2,3,1,5,5,5,5,1,1,1,4,1,2,4,2,6,5,4,3,2,1,1,3,3,1,1,1,4,3,3,2,1,4,1,5,5,A lot,1,2,About right,3,1,1,3,2,3,1,3,2,3,2,3,4,66,prof.,white,1,0,36,2,2,1,1,3,22,1,2,2,4,4,5,2,Bachelor's or more
22,4,Joe Biden,1,1,2,2,4,4,4,2,4,2,4,4,4,4,7,3,3,4,4,5,5,5,5,2,2,1,3,1,1,2,4,99,99,3,4,5,4,1,2,1,2,1,1,4,3,3,2,1,2,3,4,3,A little,1,2,Not quite strict enough,2,1,2,3,2,3,1,1,3,4,12,2,3,41,HS,Hispanic,3,2,4,2,4,1,1,1,15,1,2,2,1,2,2,3,Less than bachelor's
23,15,Donald Trump,2,1,1,5,3,5,3,5,5,5,3,5,99,1,3,5,5,5,5,5,5,5,5,2,2,-1,5,1,1,1,5,7,99,4,99,7,99,3,2,2,1,1,1,3,2,3,2,2,3,3,1,1,A little,1,3,About right,3,3,1,3,1,1,1,7,3,2,12,3,5,52,HS,Asian,1,2,15,1,5,2,5,1,1,1,4,1,0,4,3,-5,Less than bachelor's
24,16,Joe Biden,1,1,2,2,4,5,5,1,5,1,5,4,2,3,7,2,2,2,2,5,5,5,5,1,1,1,4,1,1,3,2,4,2,5,5,3,1,1,1,1,2,1,1,4,3,2,2,1,3,1,5,5,A lot,2,2,Not quite strict enough,1,1,1,2,2,3,2,3,2,5,1,4,2,46,master's,white,1,0,16,1,5,2,1,1,4,2,2,2,0,2,4,3,Bachelor's or more
25,55,Donald Trump,2,2,1,3,3,4,4,3,3,2,3,3,6,2,6,5,5,5,5,1,1,1,1,2,1,1,4,1,1,3,2,4,5,7,7,5,5,1,1,1,2,3,3,1,1,1,2,3,1,2,4,3,None,1,3,Somewhat too strict,2,3,3,3,1,2,1,7,1,3,1,2,2,66,bachelor's,white,1,0,25,2,2,1,1,1,20,1,4,2,0,4,4,2,Bachelor's or more
26,36,Joe Biden,1,1,2,3,3,3,4,2,4,2,4,4,2,2,7,2,1,1,1,5,5,5,5,1,1,-1,4,1,1,3,2,5,4,1,3,1,1,1,3,2,1,1,1,4,3,3,1,1,3,3,5,4,A moderate amount,1,2,About right,3,1,1,1,2,3,2,2,2,3,2,4,2,60,prof.,white,1,0,36,2,1,2,1,1,20,1,1,3,0,5,5,3,Bachelor's or more
27,48,Donald Trump,2,2,1,3,3,4,4,3,4,2,3,4,99,5,5,5,5,4,4,2,1,2,2,2,1,-1,2,2,1,4,2,4,5,7,7,7,99,1,1,1,3,3,1,3,3,1,2,2,1,2,3,3,A little,2,3,Not quite strict enough,3,3,3,3,1,3,2,4,3,1,1,3,3,73,bachelor's,white,1,0,48,2,1,2,1,1,10,1,3,1,4,3,5,4,Bachelor's or more
28,39,Joe Biden,1,1,2,2,5,5,5,2,5,2,5,5,1,3,5,3,4,2,3,5,5,5,5,1,1,1,4,1,1,3,3,6,3,1,3,2,2,1,2,2,1,3,1,4,3,3,1,1,3,3,5,4,A moderate amount,1,2,Not quite strict enough,3,1,1,1,2,4,3,1,2,5,9,4,2,28,prof.,white,1,0,39,2,4,2,2,1,3,2,2,2,0,5,5,4,Bachelor's or more
29,5,Joe Biden,1,1,2,1,4,5,5,1,5,1,5,4,1,2,7,3,1,1,1,5,5,5,5,1,2,-1,4,1,1,2,2,7,1,1,1,1,1,1,2,3,1,1,1,4,3,3,1,1,2,3,5,5,A lot,1,2,Not nearly strict enough,1,1,1,1,2,4,2,1,2,5,9,3,3,73,master's,white,1,0,48,2,1,2,1,1,8,1,1,2,6,3,3,2,Bachelor's or more
30,13,Donald Trump,2,2,1,5,2,2,1,4,1,3,1,1,6,1,5,5,4,5,5,1,2,2,2,2,1,-1,4,1,1,4,2,4,4,5,6,3,5,3,1,3,3,1,3,3,3,1,3,3,2,2,5,4,None,1,3,About right,3,1,2,3,2,3,1,5,3,3,1,3,2,-9,bachelor's,white,1,0,36,2,1,1,1,1,-9,1,3,1,-9,4,5,1,Bachelor's or more
31,48,Donald Trump,-1,2,2,1,3,3,3,2,3,1,5,4,6,2,5,4,5,3,5,4,4,3,3,2,1,1,3,1,2,3,2,2,99,4,5,6,4,1,1,1,2,3,3,3,1,1,3,3,3,2,1,4,None,2,2,About right,3,3,3,1,1,2,1,4,3,2,1,1,2,37,bachelor's,white,1,0,48,2,1,2,1,1,19,1,4,3,0,2,2,2,Bachelor's or more
32,42,Joe Biden,1,1,2,2,5,3,3,1,5,1,3,5,4,2,6,2,1,2,2,5,5,4,5,1,1,2,3,1,2,3,2,7,99,1,3,4,3,1,2,1,1,1,1,3,3,3,1,1,3,3,3,3,A moderate amount,1,2,Not quite strict enough,1,1,1,1,1,3,3,Haven't thought much about this,1,1,11,4,4,56,assoc. academ.,Black,1,0,42,1,4,2,1,1,4,1,1,2,0,3,3,2,Less than bachelor's
33,35,Donald Trump,2,2,1,4,1,1,1,4,1,5,1,1,7,1,5,5,5,5,5,1,1,2,1,2,2,1,4,1,1,4,4,1,5,7,7,6,7,2,1,1,2,1,2,1,1,1,3,3,2,2,1,4,None,2,3,Far too strict,2,1,2,3,1,2,1,5,1,4,1,2,2,48,master's,white,1,0,35,2,1,1,1,1,10,1,4,2,0,3,2,2,Bachelor's or more
34,20,Donald Trump,2,2,1,4,2,2,2,5,2,4,2,2,7,1,7,5,5,5,5,1,1,1,1,2,2,1,4,2,2,3,4,2,6,7,7,7,7,3,1,1,2,3,2,1,2,2,3,3,2,2,4,5,A little,1,3,About right,2,3,3,1,1,1,1,7,1,3,1,2,3,53,bachelor's,white,1,1,20,1,2,2,1,1,19,1,3,1,5,4,5,3,Bachelor's or more
35,6,Donald Trump,5,5,2,4,2,5,4,3,3,3,5,4,3,1,4,5,4,4,4,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,4,2,1,1,2,3,1,3,3,1,3,3,2,2,3,4,A little,1,3,Far too strict,2,1,1,1,1,3,1,4,3,4,12,3,2,72,assoc. academ.,white,1,0,6,2,2,2,1,1,22,1,3,2,0,3,3,2,Less than bachelor's
36,29,Donald Trump,2,2,1,4,1,3,3,4,3,4,3,1,6,1,7,5,5,5,5,1,1,1,3,2,1,-1,3,1,1,3,3,4,6,99,99,7,7,1,1,1,2,1,3,2,1,2,3,1,2,2,3,3,None,2,3,Far too strict,3,3,2,3,1,3,2,4,1,2,12,3,3,55,HS,white,1,2,29,1,5,1,1,3,1,1,2,3,0,2,3,3,Less than bachelor's
37,42,Joe Biden,1,1,2,2,4,4,4,1,4,1,5,4,2,2,7,2,2,2,2,5,5,5,5,1,2,-1,4,1,2,3,4,5,3,5,6,4,2,1,3,3,3,1,1,5,3,1,2,1,3,3,4,5,A lot,1,2,About right,3,1,1,1,2,3,3,4,3,2,2,3,2,79,assoc.,white,1,0,42,2,1,1,1,1,10,1,3,2,1,5,2,2,Less than bachelor's
38,27,Joe Biden,1,1,2,3,4,4,4,2,3,1,4,3,3,3,5,2,2,2,2,5,4,5,5,1,1,-1,4,1,2,4,2,4,3,4,4,3,1,1,2,3,3,3,1,3,3,1,2,1,2,3,5,4,A moderate amount,2,2,About right,1,1,1,1,2,4,3,2,2,5,10,3,3,38,bachelor's,white,1,2,27,2,1,1,1,3,21,1,2,3,0,2,5,3,Bachelor's or more
39,6,Donald Trump,2,-1,1,3,3,3,3,2,2,3,2,2,4,4,4,4,4,3,4,3,2,2,2,2,2,-1,2,1,1,2,2,7,4,5,4,6,4,1,3,3,2,1,3,3,1,1,2,2,4,2,3,4,A moderate amount,1,2,Not quite strict enough,1,1,1,1,2,2,1,4,1,2,1,2,1,42,bachelor's,Asian,3,0,6,2,1,2,1,3,12,1,3,4,0,4,5,2,Bachelor's or more
40,29,Joe Biden,1,1,2,2,4,5,5,1,5,1,5,4,6,5,7,1,1,1,2,5,5,5,5,1,1,1,2,1,2,4,2,6,3,1,3,4,3,1,2,1,3,1,1,4,3,2,2,1,2,1,5,4,A lot,1,2,Not quite strict enough,1,1,1,1,2,3,2,4,3,3,2,2,3,70,master's,white,1,0,20,2,1,1,1,1,15,1,2,2,1,4,5,2,Bachelor's or more
41,51,Joe Biden,1,1,2,2,5,5,5,1,5,1,5,5,2,3,6,2,1,2,1,5,5,5,5,1,2,1,4,1,1,4,2,5,4,1,4,3,1,1,3,3,1,1,1,4,3,2,1,1,4,1,5,5,A lot,1,2,Not quite strict enough,3,1,1,1,2,4,2,1,2,3,11,2,3,50,master's,Black,1,-9,51,2,2,2,1,1,-9,-9,1,2,-9,5,5,2,Bachelor's or more
42,-1,Joe Biden,1,2,1,4,3,2,2,2,3,3,3,2,4,6,2,1,5,2,1,1,3,1,3,1,1,-1,4,1,1,2,4,5,3,2,5,5,5,1,1,3,3,3,1,2,1,1,3,3,2,2,3,4,None,1,2,About right,3,3,1,1,1,1,1,7,1,2,11,4,2,27,less than HS,white,1,0,39,2,3,2,2,1,1,1,3,4,2,1,2,3,Less than bachelor's
43,4,Donald Trump,2,2,1,4,3,4,4,2,3,2,4,4,6,2,5,4,4,5,4,3,2,3,3,2,1,-1,3,2,1,4,4,3,4,5,7,3,5,1,1,1,3,1,1,2,1,1,3,3,2,3,4,4,A little,1,3,About right,3,1,3,1,2,3,2,6,1,3,11,2,2,60,some college,white,1,0,6,2,2,1,1,1,15,1,4,2,8,2,3,3,Less than bachelor's
44,13,Joe Biden,1,1,2,2,4,4,4,1,4,1,4,4,3,2,6,2,1,2,2,5,5,5,5,1,1,-1,3,1,1,3,2,5,5,4,4,3,3,3,3,1,3,3,1,2,2,2,1,1,2,3,2,2,A lot,1,2,Not nearly strict enough,1,1,1,1,1,3,1,4,3,1,2,3,3,65,master's,white,1,0,26,2,1,2,1,1,9,1,3,2,0,4,5,2,Bachelor's or more
45,36,Joe Biden,1,1,2,3,2,4,3,2,2,2,4,3,3,3,7,1,3,1,2,5,5,5,5,1,1,2,4,2,2,4,3,4,3,3,4,2,3,1,3,3,1,1,1,4,3,1,3,1,3,1,5,4,A moderate amount,1,2,About right,3,2,1,1,2,2,2,4,2,4,5,4,2,-9,master's,white,3,0,36,2,1,1,1,1,21,1,2,3,0,4,3,3,Bachelor's or more
46,39,Joe Biden,-1,2,2,2,3,3,3,3,3,3,2,3,4,2,4,4,4,2,3,3,4,3,4,1,1,-1,4,1,2,3,4,6,99,99,99,99,5,1,1,1,3,1,1,3,3,2,2,2,2,3,2,3,A moderate amount,1,2,About right,2,1,1,3,1,1,1,5,1,4,12,4,3,48,HS,white,1,0,39,2,2,1,1,1,9,1,4,2,4,2,2,3,Less than bachelor's
47,48,Donald Trump,2,2,2,4,3,4,4,3,4,3,4,3,6,1,6,5,5,4,5,2,2,2,3,2,2,-1,2,2,2,4,3,4,5,2,7,5,4,3,1,1,3,1,1,3,1,1,3,3,2,2,2,4,A little,1,3,Somewhat too strict,2,3,3,2,1,3,1,5,3,2,11,4,2,55,HS,white,1,0,48,1,4,1,1,1,13,1,3,3,1,4,3,3,Less than bachelor's
48,-1,Joe Biden,-1,-1,2,2,3,3,4,2,4,3,4,4,5,4,5,4,5,4,5,5,5,4,5,1,2,2,5,1,1,2,2,3,1,3,3,2,3,1,3,1,1,3,3,3,3,1,3,1,2,3,5,5,A little,1,2,About right,3,1,1,1,2,3,3,2,2,3,2,3,3,54,bachelor's,white,1,4,17,2,2,1,1,1,19,1,3,3,0,5,5,3,Bachelor's or more
49,30,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,4,1,7,5,4,4,4,4,5,5,5,2,2,3,4,1,1,2,4,7,4,4,6,4,1,1,2,2,3,1,1,4,3,3,2,1,2,1,1,5,None,1,3,Somewhat too strict,1,1,1,1,2,3,2,1,3,5,12,5,5,38,master's,white,1,0,30,1,5,2,1,1,13,1,3,4,0,3,3,2,Bachelor's or more
50,47,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,2,6,1,1,1,2,5,5,5,5,1,1,-1,5,1,1,3,2,7,4,1,2,2,1,1,2,1,1,1,1,2,3,2,2,1,4,1,4,2,A lot,1,2,About right,3,1,1,1,1,4,3,1,2,2,2,3,3,80,prof.,white,1,0,12,2,1,1,1,3,10,1,2,2,0,4,5,1,Bachelor's or more
51,22,Joe Biden,-1,-1,2,4,5,5,5,1,5,2,5,5,2,3,2,2,2,2,3,5,5,5,5,1,2,1,4,1,1,2,3,7,2,2,2,1,1,1,3,3,1,1,1,5,3,1,2,1,4,2,5,5,A moderate amount,1,2,Not nearly strict enough,3,1,1,1,2,4,2,1,2,3,12,3,2,37,master's,Multiracial,1,0,36,2,3,2,1,1,15,1,1,2,0,5,3,2,Bachelor's or more
52,34,Joe Biden,1,1,2,2,4,4,4,1,4,2,4,4,2,4,6,4,4,4,4,5,4,5,5,1,1,-1,3,1,1,4,2,6,1,2,4,3,1,1,3,1,3,1,1,4,2,1,3,2,3,1,5,5,A moderate amount,1,2,About right,3,1,1,1,2,3,2,3,2,4,2,2,2,38,bachelor's,white,2,3,34,2,1,1,1,3,22,1,4,2,0,2,4,2,Bachelor's or more
53,6,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,4,4,1,1,1,1,1,5,5,5,5,1,2,-1,2,1,1,2,3,4,7,1,1,5,1,3,1,1,2,1,1,4,3,2,1,1,3,2,3,5,A lot,2,2,Not nearly strict enough,1,1,1,1,2,1,1,7,1,3,11,3,3,60,assoc.,white,3,0,6,2,1,1,1,2,11,1,1,3,5,3,2,1,Less than bachelor's
54,6,Joe Biden,-1,-1,2,3,5,4,4,1,5,1,5,4,5,4,1,1,2,2,2,5,5,5,5,2,1,-1,4,1,1,2,3,7,6,4,3,4,1,1,3,1,3,1,1,4,3,2,2,1,3,3,5,5,A little,2,2,Not quite strict enough,1,1,1,1,1,3,3,1,3,2,11,2,3,46,some college,Multiracial,2,0,6,2,2,1,2,1,14,1,2,3,-9,3,4,3,Less than bachelor's
55,6,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,1,6,7,4,4,4,4,5,5,5,5,2,1,1,4,1,1,3,2,7,1,1,1,1,1,1,2,2,1,1,1,5,3,2,2,1,5,1,5,5,A moderate amount,2,2,Not quite strict enough,1,1,1,1,2,4,3,1,2,5,9,3,3,78,master's,white,1,0,34,2,1,2,1,3,17,1,1,2,0,5,5,3,Bachelor's or more
56,8,Joe Biden,1,1,2,2,5,4,5,2,5,2,4,5,2,4,6,1,1,1,1,5,5,5,5,1,1,1,3,1,2,3,2,6,2,1,1,1,1,1,2,2,1,1,1,5,3,2,2,1,3,1,5,5,A lot,1,2,Not quite strict enough,1,1,1,1,2,4,4,1,2,1,11,3,3,39,prof.,white,1,2,8,2,1,2,3,1,16,1,1,4,0,4,4,2,Bachelor's or more
57,17,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,2,6,2,3,1,3,5,5,5,5,1,1,1,4,1,1,3,2,99,3,7,4,1,3,1,3,2,3,3,1,2,3,3,1,1,3,2,1,4,A moderate amount,1,2,Not quite strict enough,3,1,1,1,2,4,4,1,2,3,11,4,3,33,prof.,Black,1,0,17,2,1,2,1,1,11,1,3,2,0,4,5,3,Bachelor's or more
58,6,Joe Biden,1,1,2,1,4,4,4,1,4,1,3,4,2,2,2,2,2,1,2,5,5,5,5,1,1,-1,4,1,1,4,2,5,99,1,1,1,1,1,3,3,3,3,1,3,2,2,2,1,3,3,5,1,A lot,2,2,About right,3,1,1,1,2,3,2,1,3,2,11,3,3,74,master's,white,1,0,24,2,2,2,1,3,1,1,3,3,0,3,5,2,Bachelor's or more
59,27,Joe Biden,1,1,2,1,5,4,5,1,5,1,5,5,3,4,7,1,2,2,2,5,5,4,5,1,2,1,4,1,1,2,2,5,4,5,4,2,5,1,1,1,2,3,3,3,3,2,3,1,2,1,3,3,A moderate amount,2,2,Not quite strict enough,2,1,1,2,2,3,1,5,1,2,2,3,3,61,assoc.,white,1,0,27,2,1,2,1,1,10,1,2,4,10,3,4,3,Less than bachelor's
60,42,Joe Biden,-1,-1,2,3,4,4,4,3,4,2,4,3,99,3,6,4,3,4,3,5,1,5,5,1,2,-1,3,2,1,4,4,99,3,4,4,4,3,1,1,1,2,1,1,4,2,1,2,2,2,3,4,4,A lot,1,2,About right,3,1,1,1,2,3,2,4,3,4,1,3,3,60,HS,white,1,0,42,2,2,2,1,1,13,1,2,1,3,4,5,3,Less than bachelor's
61,42,Donald Trump,2,-1,2,4,2,5,5,3,4,3,5,2,6,1,2,5,5,4,5,1,1,2,2,2,2,2,3,1,1,4,2,3,7,99,7,7,3,1,1,1,2,1,1,2,1,2,2,3,3,2,3,4,None,2,2,Far too strict,2,1,1,1,1,1,2,7,1,4,2,3,3,-9,some college,white,1,2,42,2,1,1,1,1,17,1,4,3,-9,3,2,1,Less than bachelor's
62,36,Joe Biden,1,1,2,2,5,5,3,2,5,2,4,5,4,1,7,1,1,1,1,5,5,5,5,1,2,1,3,2,3,3,4,7,6,7,1,1,1,1,1,2,1,1,1,3,3,2,2,1,3,1,4,4,A moderate amount,1,2,About right,3,3,3,1,2,4,2,1,1,3,2,4,3,49,less than HS,Black,1,1,36,2,3,2,5,3,1,1,2,1,0,5,5,2,Less than bachelor's
63,42,Joe Biden,1,1,2,3,4,3,2,1,4,1,3,1,2,3,7,3,1,3,2,5,5,5,5,2,1,-1,3,1,1,4,2,7,4,6,1,2,1,1,3,1,3,1,1,4,3,2,3,1,4,3,5,5,A lot,1,2,About right,3,1,1,1,2,3,1,1,2,5,12,3,3,80,master's,white,1,0,42,2,1,1,1,1,16,1,1,1,0,2,5,1,Bachelor's or more
64,12,Donald Trump,2,1,1,4,3,3,3,1,3,4,4,3,4,1,6,5,5,5,5,1,3,2,3,2,2,1,3,1,1,3,1,4,5,4,5,4,4,1,1,1,1,1,3,2,1,1,3,2,3,3,4,5,A little,1,3,About right,3,3,3,3,1,3,1,4,1,3,5,2,3,70,some college,white,1,0,36,2,3,1,1,1,6,1,3,4,0,3,3,3,Less than bachelor's
