,state,vote,V201103,V201105,V201114,V201115,V201116,V201117,V201118,V201119,V201120,V201121,V201122,V201123,V201200,V201202,V201203,V201208,V201209,V201210,V201211,V201212,V201213,V201214,V201215,V201217,V201218,V201221,V201233,V201234,V201235,V201236,V201237,V201246,V201249,V201252,V201255,V201258,V201262,V201303,V201306,V201309,V201312,V201315,V201321,V201324,V201325,V201328,V201334,V201346,V201353,V201354,V201366,V201369,news,V201379,V201390,state covid,V201394,V201397,V201401,V201403,V201409,V201417,V201427,blm,V201430,V201433,V201435,V201502,V201503,V201507x,education,race,V201553,V201567,V201575,V201592,V201593,V201600,V201602,V201603,V201617x,V201620,V201626,V201627,V201628,V201639,V201640,V201651,recode education
3007,9,Joe Biden,1,1,2,2,5,4,4,2,4,1,3,5,4,5,5,3,2,2,3,5,5,5,5,5,1,1,3,1,1,3,3,4,5,2,99,3,5,1,3,3,2,1,1,3,3,2,2,1,3,3,3,4,A moderate amount,1,2,About right,3,1,1,1,-9,-9,1,3,2,3,1,3,4,-9,bachelor's,white,3,0,9,2,3,1,1,1,-9,1,2,2,0,2,3,3,Bachelor's or more
3008,23,Donald Trump,2,2,2,3,4,5,5,1,5,1,5,4,4,1,7,5,5,5,5,1,1,4,1,2,1,1,4,1,2,3,4,4,5,7,1,6,5,1,1,1,3,1,3,4,1,3,2,2,1,3,5,5,A little,1,3,Somewhat too strict,3,1,3,1,1,3,1,5,1,5,12,4,2,37,assoc. academ.,white,1,2,23,2,4,2,1,1,13,1,1,3,5,2,2,3,Less than bachelor's
3009,1,Donald Trump,2,2,1,3,4,4,1,3,3,4,5,4,7,1,6,5,5,5,5,1,1,2,1,2,1,-1,4,1,1,3,2,3,7,6,7,99,99,2,1,1,3,1,2,1,1,1,2,3,1,2,4,5,None,1,3,About right,3,3,2,1,1,1,1,7,1,1,1,1,3,43,bachelor's,white,1,2,1,2,1,2,1,1,19,1,3,3,0,4,2,2,Bachelor's or more
3010,10,Joe Biden,1,1,2,2,5,5,5,1,5,1,5,5,1,2,7,1,1,1,1,5,5,5,5,1,1,-1,4,1,1,2,2,7,1,2,4,5,1,1,3,3,3,1,1,4,3,3,1,1,5,1,5,5,A little,1,2,About right,3,1,1,1,2,4,1,1,2,3,11,4,4,65,bachelor's,white,1,0,51,2,2,1,1,1,2,1,2,2,0,1,3,4,Bachelor's or more
3011,36,Joe Biden,-1,1,2,3,3,4,4,1,3,2,4,3,4,2,6,2,1,1,2,5,5,5,5,5,2,-1,3,1,1,3,2,5,2,1,2,2,2,1,3,3,3,1,1,5,3,3,2,1,3,3,3,4,A little,2,2,About right,3,3,1,1,2,3,2,1,2,4,-9,3,3,76,less than HS,Black,3,0,36,2,2,2,1,1,5,1,2,3,0,4,5,3,Less than bachelor's
3012,21,Donald Trump,-1,1,1,3,2,2,2,3,1,3,2,2,99,1,6,5,5,5,5,1,1,1,1,2,2,2,5,1,1,2,4,99,7,3,6,7,4,1,1,1,3,3,1,1,1,1,3,3,1,2,1,1,None,2,3,Far too strict,2,3,2,1,1,1,1,7,1,1,11,3,1,56,HS,white,1,0,21,2,3,2,1,3,1,1,4,1,1,3,4,1,Less than bachelor's
3013,48,Joe Biden,1,1,2,2,3,5,4,1,4,1,4,3,2,2,6,2,3,1,2,5,5,5,5,1,1,1,4,1,2,2,4,6,3,3,3,2,1,1,2,2,1,1,1,4,3,3,2,1,3,1,5,5,A lot,1,2,Not nearly strict enough,1,1,1,1,2,4,2,1,2,4,9,2,2,39,some college,Hispanic,1,0,48,2,2,1,1,1,20,1,1,1,1,5,5,2,Less than bachelor's
3014,-1,Joe Biden,-1,-1,2,3,3,2,1,1,3,2,3,3,99,4,5,2,3,2,1,4,2,4,5,1,1,2,3,1,2,4,4,7,5,99,2,1,99,3,2,1,1,2,1,4,3,1,3,2,3,2,4,3,A lot,2,2,About right,3,3,1,1,2,3,2,1,3,1,11,1,1,40,HS,white,1,0,47,2,2,1,3,1,6,1,1,1,0,4,5,2,Less than bachelor's
3015,1,Donald Trump,2,2,1,4,2,2,2,3,3,3,3,3,6,2,6,4,4,4,5,2,2,2,2,2,1,-1,2,2,1,4,2,4,7,5,4,3,99,1,1,1,3,1,1,2,2,1,3,3,2,2,2,5,None,2,3,About right,3,2,3,1,1,3,2,6,3,1,2,2,2,36,bachelor's,white,1,4,17,2,1,2,1,1,20,1,3,2,0,2,5,2,Bachelor's or more
3016,42,Donald Trump,-1,-1,2,3,3,2,3,3,4,3,4,4,6,2,7,5,5,5,5,2,2,4,4,1,1,2,4,1,1,3,3,2,99,7,6,6,4,3,3,3,2,1,3,2,1,1,1,1,2,2,4,3,None,1,3,About right,3,1,1,3,2,3,2,5,2,4,2,3,3,28,bachelor's,white,1,0,34,2,1,1,1,1,19,1,3,3,0,2,4,2,Bachelor's or more
3017,-1,Joe Biden,1,1,2,1,4,4,4,1,4,1,5,3,4,5,7,3,3,3,3,5,5,5,5,1,1,-1,4,1,1,3,3,6,5,3,1,7,1,1,2,1,3,1,1,4,3,2,2,1,1,3,5,4,A moderate amount,1,2,About right,1,1,1,3,2,4,1,7,1,3,2,3,3,62,assoc.,Native,1,3,26,2,2,2,1,1,22,1,4,3,0,2,3,3,Less than bachelor's
3018,39,Joe Biden,1,1,2,2,4,5,5,1,5,1,5,4,4,3,5,1,2,2,1,5,5,5,5,1,1,-1,4,1,3,4,2,5,4,4,4,3,3,1,2,2,3,1,3,3,2,3,2,1,3,3,5,4,A lot,1,2,About right,1,1,1,1,2,3,2,2,2,5,9,3,2,59,master's,white,1,0,39,2,1,1,1,1,19,1,1,2,8,2,4,2,Bachelor's or more
3019,37,Joe Biden,-1,2,2,1,4,4,4,1,4,1,4,4,6,2,7,3,2,2,1,5,5,5,5,1,1,2,3,1,2,4,3,4,5,4,5,6,3,3,3,1,3,3,1,4,3,2,2,1,2,3,1,3,A moderate amount,2,2,About right,3,1,1,3,1,3,2,2,2,3,2,4,3,74,bachelor's,white,1,0,34,2,1,1,1,1,15,1,2,2,0,3,5,3,Bachelor's or more
3020,27,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,3,7,1,1,1,1,5,5,5,5,1,1,-1,2,1,2,3,2,6,4,1,2,1,2,1,3,3,3,3,1,5,3,2,2,1,4,1,4,5,A lot,1,2,Not quite strict enough,3,1,1,1,2,3,3,1,2,3,12,3,3,44,master's,white,1,0,27,2,3,2,1,1,15,1,1,1,0,5,5,3,Bachelor's or more
3021,53,Joe Biden,-1,1,2,2,4,5,5,1,4,1,5,4,1,3,7,3,3,2,2,5,5,5,5,1,1,-1,4,1,1,2,4,6,3,1,1,1,1,1,2,2,1,1,1,5,3,2,1,1,2,1,5,4,A moderate amount,1,2,Not nearly strict enough,1,1,1,1,2,4,4,1,2,5,9,4,4,45,HS,white,1,1,53,1,3,1,2,1,19,1,2,2,0,4,5,3,Less than bachelor's
3022,29,Joe Biden,1,1,2,2,4,3,4,1,5,1,4,4,2,2,7,2,2,2,2,5,5,4,5,1,1,-1,4,1,2,3,2,6,2,2,2,2,1,1,2,1,1,1,1,4,3,2,2,1,2,3,5,4,A lot,2,2,Not quite strict enough,1,1,1,1,2,4,2,1,2,5,10,3,4,80,prof.,white,1,0,20,2,2,2,1,1,6,1,1,2,0,4,5,3,Bachelor's or more
3023,37,Donald Trump,2,2,2,3,1,4,2,1,1,1,4,1,6,2,6,5,5,3,5,2,2,2,2,2,2,1,4,1,1,2,2,5,6,7,7,4,4,3,1,3,2,3,3,2,3,1,3,3,1,2,5,5,None,2,3,Somewhat too strict,3,1,3,1,1,1,2,6,3,1,1,3,2,59,HS,white,1,0,37,2,1,1,1,1,13,1,3,2,3,3,3,1,Less than bachelor's
3024,48,Joe Biden,1,2,2,3,4,4,4,1,4,1,4,4,3,3,5,2,2,3,1,5,2,5,5,1,1,-1,2,1,1,4,2,5,5,3,4,3,2,1,3,3,3,1,1,4,3,1,2,1,3,1,5,5,A lot,1,2,Not quite strict enough,2,1,1,1,2,3,2,3,2,5,1,4,2,69,bachelor's,white,1,0,56,2,1,1,1,1,11,1,1,3,4,4,5,2,Bachelor's or more
3025,55,Joe Biden,-1,-1,2,1,4,4,4,1,4,1,4,4,99,6,4,2,3,2,2,5,5,5,5,1,1,-1,3,1,1,3,3,7,6,4,1,2,2,1,1,1,1,3,1,5,3,3,1,1,3,3,3,4,A moderate amount,1,2,Not quite strict enough,1,1,1,1,1,3,1,1,3,1,11,4,3,47,some college,Black,1,0,55,1,4,2,1,1,7,1,1,2,0,3,3,5,Less than bachelor's
3026,18,Donald Trump,2,2,1,3,3,3,3,3,3,3,3,3,6,1,6,5,5,4,4,1,1,2,2,2,2,-1,3,1,1,4,2,4,6,7,7,5,5,1,3,1,3,1,3,2,1,1,1,1,2,3,1,5,A little,1,3,About right,3,3,2,3,1,3,1,6,1,1,1,3,3,60,bachelor's,white,1,0,18,2,2,2,1,3,15,2,4,3,1,2,2,1,Bachelor's or more
3027,51,Joe Biden,1,-1,2,2,4,3,3,1,4,2,4,4,2,2,7,2,3,2,3,3,5,5,5,1,1,1,4,1,2,2,3,6,5,4,3,4,2,1,3,1,3,3,1,4,3,1,2,1,3,1,3,4,A moderate amount,1,2,About right,3,1,1,1,2,3,2,3,3,2,11,3,3,39,bachelor's,white,1,3,51,2,1,2,1,3,22,1,2,2,2,4,2,4,Bachelor's or more
